Problem:    Ambulanze
Rows:       326
Columns:    54 (54 integer, 54 binary)
Non-zeros:  698
Status:     INTEGER OPTIMAL
Objective:  z = 3040 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
   290 integrity[6,2,1]
                                   0                           1 
   291 integrity[6,2,2]
                                   0                           1 
   292 integrity[6,2,3]
                                   0                           1 
   293 integrity[6,2,4]
                                   0                           1 
   294 integrity[6,2,5]
                                   0                           1 
   295 integrity[6,2,6]
                                   1                           1 
   296 integrity[6,2,7]
                                   0                           1 
   297 integrity[6,2,8]
                                   0                           1 
   298 integrity[6,2,9]
                                   0                           1 
   299 integrity[6,3,1]
                                   0                           1 
   300 integrity[6,3,2]
                                   0                           1 
   301 integrity[6,3,3]
                                   0                           1 
   302 integrity[6,3,4]
                                   0                           1 
   303 integrity[6,3,5]
                                   0                           1 
   304 integrity[6,3,6]
                                   0                           1 
   305 integrity[6,3,7]
                                   0                           1 
   306 integrity[6,3,8]
                                   0                           1 
   307 integrity[6,3,9]
                                   0                           1 
   308 integrity[6,4,1]
                                   0                           1 
   309 integrity[6,4,2]
                                   0                           1 
   310 integrity[6,4,3]
                                   0                           1 
   311 integrity[6,4,4]
                                   0                           1 
   312 integrity[6,4,5]
                                   0                           1 
   313 integrity[6,4,6]
                                   0                           1 
   314 integrity[6,4,7]
                                   0                           1 
   315 integrity[6,4,8]
                                   0                           1 
   316 integrity[6,4,9]
                                   0                           1 
   317 integrity[6,5,1]
                                   0                           1 
   318 integrity[6,5,2]
                                   0                           1 
   319 integrity[6,5,3]
                                   0                           1 
   320 integrity[6,5,4]
                                   0                           1 
   321 integrity[6,5,5]
                                   0                           1 
   322 integrity[6,5,6]
                                   0                           1 
   323 integrity[6,5,7]
                                   0                           1 
   324 integrity[6,5,8]
                                   0                           1 
   325 integrity[6,5,9]
                                   0                           1 
   326 z                        3040                             

   No. Column name       Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 x[1,1]       *              0             0             1 
     2 x[2,1]       *              0             0             1 
     3 x[3,1]       *              0             0             1 
     4 x[4,1]       *              0             0             1 
     5 x[5,1]       *              0             0             1 
     6 x[6,1]       *              0             0             1 
     7 x[1,2]       *              0             0             1 
     8 x[2,2]       *              0             0             1 
     9 x[3,2]       *              0             0             1 
    10 x[4,2]       *              0             0             1 
    11 x[5,2]       *              0             0             1 
    12 x[6,2]       *              0             0             1 
    13 x[1,3]       *              1             0             1 
    14 x[2,3]       *              0             0             1 
    15 x[3,3]       *              0             0             1 
    16 x[4,3]       *              0             0             1 
    17 x[5,3]       *              0             0             1 
    18 x[6,3]       *              0             0             1 
    19 x[1,4]       *              0             0             1 
    20 x[2,4]       *              0             0             1 
    21 x[3,4]       *              0             0             1 
    22 x[4,4]       *              0             0             1 
    23 x[5,4]       *              0             0             1 
    24 x[6,4]       *              0             0             1 
    25 x[1,5]       *              1             0             1 
    26 x[2,5]       *              0             0             1 
    27 x[3,5]       *              0             0             1 
    28 x[4,5]       *              0             0             1 
    29 x[5,5]       *              0             0             1 
    30 x[6,5]       *              0             0             1 
    31 x[1,6]       *              0             0             1 
    32 x[2,6]       *              1             0             1 
    33 x[3,6]       *              0             0             1 
    34 x[4,6]       *              0             0             1 
    35 x[5,6]       *              0             0             1 
    36 x[6,6]       *              0             0             1 
    37 x[1,7]       *              0             0             1 
    38 x[2,7]       *              0             0             1 
    39 x[3,7]       *              0             0             1 
    40 x[4,7]       *              0             0             1 
    41 x[5,7]       *              0             0             1 
    42 x[6,7]       *              0             0             1 
    43 x[1,8]       *              0             0             1 
    44 x[2,8]       *              0             0             1 
    45 x[3,8]       *              0             0             1 
    46 x[4,8]       *              0             0             1 
    47 x[5,8]       *              0             0             1 
    48 x[6,8]       *              0             0             1 
    49 x[1,9]       *              0             0             1 
    50 x[2,9]       *              0             0             1 
    51 x[3,9]       *              0             0             1 
    52 x[4,9]       *              0             0             1 
    53 x[5,9]       *              0             0             1 
    54 x[6,9]       *              0             0             1 

Integer feasibility conditions:

KKT.PE: max.abs.err = 0.00e+000 on row 0
        max.rel.err = 0.00e+000 on row 0
        High quality

KKT.PB: max.abs.err = 0.00e+000 on row 0
        max.rel.err = 0.00e+000 on row 0
        High quality

End of output
